eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
84.6,-2.0199999809265137,30.0,0.0003219948848709464,0.0,2.707746744155884,-0.0007654768414795399,0.3311783969402313,0.007617950439453125,1.0,256.0,528.9805822589842,16384.0
84.57,-2.440000057220459,31.0,0.00015202589565888047,0.0,2.7061760425567627,-0.0002686487277969718,0.16850118339061737,0.041753411293029785,2.0,512.0,1045.9071611799882,32768.0
85.89,-2.490000009536743,30.0,0.00042661759653128684,0.0,2.705038070678711,-0.0007744725444354117,0.13959507644176483,0.047158002853393555,3.0,768.0,1578.0247048919846,49152.0
84.44,-2.5399999618530273,30.0,0.00045193382538855076,0.0,2.7040421962738037,-0.0003364995354786515,0.1433100402355194,0.0564037561416626,4.0,1024.0,2116.265639452002,65536.0
78.92,-2.0199999809265137,30.0,0.0015312767354771495,0.008463541977107525,2.6984426975250244,-0.0016478787874802947,0.1304989457130432,0.1709076166152954,5.0,1280.0,2651.970538108988,81920.0
83.13,-2.0399999618530273,30.0,0.0016849249368533492,0.010416666977107525,2.69012188911438,-0.0022973830346018076,0.1482284814119339,0.23682713508605957,6.0,1536.0,3192.759770067001,98304.0
83.36,-2.069999933242798,30.0,0.0022903827484697104,0.012451171875,2.691945791244507,-0.002717870520427823,0.12085860222578049,0.2954198718070984,7.0,1792.0,3728.1210054949916,114688.0
86.18,-2.299999952316284,30.0,0.0023677924182265997,0.014302571304142475,2.682873487472534,-0.003996566403657198,0.12389921396970749,0.28964072465896606,8.0,2048.0,4265.217373387975,131072.0
84.14,-1.2899999618530273,31.0,0.002703797072172165,0.02115885354578495,2.6778457164764404,-0.004655849654227495,0.0953790470957756,0.3550744652748108,9.0,2304.0,4786.411305108981,147456.0
89.67,-1.4800000190734863,32.0,0.003906302619725466,0.0381673164665699,2.672927141189575,-0.006767731159925461,0.08590076118707657,0.3757580518722534,10.0,2560.0,5287.325888006977,163840.0
84.42,-1.8300000429153442,32.0,0.004091320559382439,0.03570556640625,2.6629180908203125,-0.0062075392343103886,0.09295282512903214,0.42887067794799805,11.0,2816.0,5784.234891621978,180224.0
83.1,-1.159999966621399,33.0,0.004059635102748871,0.0415852852165699,2.65321683883667,-0.00822332315146923,0.10104139894247055,0.40587764978408813,12.0,3072.0,6280.597687064001,196608.0
79.02,-1.4600000381469727,32.0,0.004734571557492018,0.05010986328125,2.6510000228881836,-0.009609093889594078,0.08809194713830948,0.43457865715026855,13.0,3328.0,6778.846450049983,212992.0
79.01,-0.9800000190734863,32.0,0.004826943855732679,0.0494181327521801,2.63993763923645,-0.0074915955774486065,0.09189508110284805,0.4799516201019287,14.0,3584.0,7278.795487012976,229376.0
75.66,-1.159999966621399,32.0,0.0056644584983587265,0.0683186873793602,2.6189935207366943,-0.012920207343995571,0.08383368700742722,0.5232076048851013,15.0,3840.0,7777.5173256819835,245760.0
76.24,-0.6100000143051147,32.0,0.007132701110094786,0.0914713516831398,2.6059763431549072,-0.013818656094372272,0.07663555443286896,0.4446792006492615,16.0,4096.0,8275.195416153001,262144.0
83.0,-0.5299999713897705,33.0,0.006126695778220892,0.073974609375,2.6185083389282227,-0.013316266238689423,0.07918252795934677,0.44451040029525757,17.0,4352.0,8770.496755829983,278528.0
85.21,-0.6399999856948853,33.0,0.0068557835184037685,0.0838419571518898,2.6120316982269287,-0.014804194681346416,0.07606937736272812,0.4771658778190613,18.0,4608.0,9266.021530341997,294912.0
82.75,-0.33000001311302185,32.0,0.007871413603425026,0.1055501326918602,2.6007087230682373,-0.013476272113621235,0.06559210270643234,0.4409211277961731,19.0,4864.0,9771.257174161,311296.0
77.19,-0.12999999523162842,31.0,0.007077690679579973,0.089599609375,2.6015143394470215,-0.014317434281110764,0.04928591847419739,0.3859120011329651,20.0,5120.0,10284.990395970992,327680.0
81.44,-0.38999998569488525,31.0,0.008072999306023121,0.1046956405043602,2.586735486984253,-0.01387076172977686,0.05792759358882904,0.5150813162326813,21.0,5376.0,10806.034083226987,344064.0
82.19,-0.05999999865889549,31.0,0.008547825738787651,0.1142171248793602,2.573728561401367,-0.014966205693781376,0.05210060253739357,0.49573612213134766,22.0,5632.0,11332.005217213999,360448.0
81.05,0.5,31.0,0.008667303249239922,0.1166178360581398,2.5670742988586426,-0.015743348747491837,0.04738863185048103,0.37822139263153076,23.0,5888.0,11855.030373536982,376832.0
87.37,-0.3700000047683716,31.0,0.008914562873542309,0.1194254532456398,2.568068504333496,-0.017865190282464027,0.06319130212068558,0.4528396725654602,24.0,6144.0,12377.030943346996,393216.0
80.01,0.6899999976158142,31.0,0.008117564022541046,0.1042887344956398,2.5773978233337402,-0.014743984676897526,0.04475592449307442,0.44713032245635986,25.0,6400.0,12898.001067559991,409600.0
81.75,0.36000001430511475,31.0,0.009898792020976543,0.1369425505399704,2.560159683227539,-0.01634390279650688,0.06015920266509056,0.46873700618743896,26.0,6656.0,13417.394861393987,425984.0
78.48,0.7900000214576721,31.0,0.00930443312972784,0.12255859375,2.5528109073638916,-0.01554044708609581,0.04638190194964409,0.5485726892948151,27.0,6912.0,13935.937040060002,442368.0
82.88,0.6399999856948853,31.0,0.010479672811925411,0.13970947265625,2.5378575325012207,-0.016706714406609535,0.05437690392136574,0.5333258211612701,28.0,7168.0,14454.563575118984,458752.0
86.56,1.1200000047683716,31.0,0.008571538142859936,0.1160074844956398,2.5167160034179688,-0.015737803652882576,0.05043309926986694,0.5650986433029175,29.0,7424.0,14974.869956198992,475136.0
83.63,1.100000023841858,31.0,0.011497441679239273,0.1530965119600296,2.513047695159912,-0.019487664103507996,0.051523804664611816,0.5561841130256653,30.0,7680.0,15496.492467981996,491520.0
87.53,1.4500000476837158,31.0,0.010298925451934338,0.1417032927274704,2.5141193866729736,-0.018421007320284843,0.05062991753220558,0.5996078252792358,31.0,7936.0,16017.435550331982,507904.0
85.74,1.25,31.0,0.011192567646503448,0.1550496369600296,2.500105619430542,-0.018603360280394554,0.05196773633360863,0.6565267443656921,32.0,8192.0,16536.731398601987,524288.0
92.84,1.3799999952316284,31.0,0.010770590044558048,0.15008544921875,2.4865567684173584,-0.02147596888244152,0.05232036113739014,0.662991851568222,33.0,8448.0,17055.324563320988,540672.0
89.1,1.6399999856948853,31.0,0.012814879417419434,0.1685587614774704,2.481271266937256,-0.018809206783771515,0.04826846346259117,0.6090499460697174,34.0,8704.0,17575.859214844997,557056.0
87.46,1.590000033378601,31.0,0.012135963886976242,0.1673787385225296,2.4673306941986084,-0.017501747235655785,0.05112406983971596,0.6724725961685181,35.0,8960.0,18095.581337712996,573440.0
90.29,1.190000057220459,31.0,0.012177776545286179,0.1672159880399704,2.4627838134765625,-0.023460855707526207,0.05118871107697487,0.7237327992916107,36.0,9216.0,18614.253985810996,589824.0
94.46,2.1700000762939453,31.0,0.010496045462787151,0.1410115510225296,2.4285099506378174,-0.014534026384353638,0.06369774788618088,0.7128698229789734,37.0,9472.0,19133.850626828993,606208.0
93.96,1.9600000381469727,31.0,0.010784130543470383,0.1440226286649704,2.4339308738708496,-0.021591855213046074,0.04424444958567619,0.7290040552616119,38.0,9728.0,19653.370269507985,622592.0
90.19,1.8700000047683716,31.0,0.013706192374229431,0.181396484375,2.4478256702423096,-0.012518658302724361,0.07748108357191086,0.6884765028953552,39.0,9984.0,20173.511443847994,638976.0
98.09,2.2300000190734863,31.0,0.010410275310277939,0.1409505158662796,2.4290168285369873,-0.014507352374494076,0.061875466257333755,0.7434220016002655,40.0,10240.0,20693.121008137998,655360.0
116.36,2.7300000190734863,31.0,0.013950146734714508,0.1867268830537796,2.4260051250457764,-0.016920899972319603,0.05751866102218628,0.7467179000377655,41.0,10496.0,21213.330311728,671744.0
