eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
86.03,-2.7200000286102295,75.0,nan,0.0,nan,nan,nan,-0.004829883575439453,1.0,256.0,217.4349832299631,16384.0
78.58,-2.049999952316284,74.0,0.0,0.0,2.7080507278442383,nan,nan,nan,2.0,512.0,436.02183477097424,32768.0
85.53,-2.569999933242798,76.0,0.0,0.0,2.7080507278442383,nan,nan,nan,3.0,768.0,649.5663602779969,49152.0
82.19,-2.4600000381469727,77.0,0.0,0.0,2.7080507278442383,nan,nan,nan,4.0,1024.0,860.4306451079901,65536.0
85.9,-2.25,77.0,0.0,0.0,2.7080507278442383,nan,nan,nan,5.0,1280.0,1071.3502573680016,81920.0
85.18,-2.2100000381469727,76.0,0.0,0.0,2.7080507278442383,nan,nan,nan,6.0,1536.0,1284.5614087439608,98304.0
83.22,-2.259999990463257,78.0,0.0,0.0,2.7080507278442383,nan,nan,nan,7.0,1792.0,1494.469229610986,114688.0
85.14,-2.4700000286102295,78.0,0.0,0.0,2.7080507278442383,nan,nan,nan,8.0,2048.0,1702.7165343459928,131072.0
83.7,-2.880000114440918,78.0,0.0,0.0,2.7080507278442383,nan,nan,nan,9.0,2304.0,1910.8116292599589,147456.0
80.92,-1.940000057220459,78.0,0.0,0.0,2.7080507278442383,nan,nan,nan,10.0,2560.0,2120.179255752999,163840.0
82.65,-2.0299999713897705,78.0,0.0,0.0,2.7080507278442383,nan,nan,nan,11.0,2816.0,2329.1516552529647,180224.0
77.15,-2.0,78.0,0.0,0.0,2.7080507278442383,nan,nan,nan,12.0,3072.0,2537.6572042329935,196608.0
87.48,-2.450000047683716,78.0,0.0,0.0,2.7080507278442383,nan,nan,nan,13.0,3328.0,2745.5977850119816,212992.0
83.72,-2.7899999618530273,79.0,0.0,0.0,2.7080507278442383,nan,nan,nan,14.0,3584.0,2952.7897554129595,229376.0
85.97,-2.299999952316284,78.0,0.0,0.0,2.7080507278442383,nan,nan,nan,15.0,3840.0,3160.5157204509596,245760.0
83.05,-2.759999990463257,78.0,0.0,0.0,2.7080507278442383,nan,nan,nan,16.0,4096.0,3368.6288592939964,262144.0
90.29,-2.4600000381469727,78.0,0.0,0.0,2.7080507278442383,nan,nan,nan,17.0,4352.0,3576.3455349459546,278528.0
81.83,-2.1700000762939453,78.0,0.0,0.0,2.7080507278442383,nan,nan,nan,18.0,4608.0,3784.1106748289894,294912.0
80.86,-1.809999942779541,78.0,0.0,0.0,2.7080507278442383,nan,nan,nan,19.0,4864.0,3991.8127447279985,311296.0
81.3,-2.5399999618530273,79.0,0.0,0.0,2.7080507278442383,nan,nan,nan,20.0,5120.0,4199.182398021978,327680.0
83.63,-2.359999895095825,78.0,0.0,0.0,2.7080507278442383,nan,nan,nan,21.0,5376.0,4406.596323771984,344064.0
81.81,-1.9900000095367432,79.0,0.0,0.0,2.7080507278442383,nan,nan,nan,22.0,5632.0,4613.373432442953,360448.0
82.79,-2.180000066757202,78.0,0.0,0.0,2.7080507278442383,nan,nan,nan,23.0,5888.0,4820.854001630971,376832.0
80.87,-2.5899999141693115,79.0,0.0,0.0,2.7080507278442383,nan,nan,nan,24.0,6144.0,5027.7785658430075,393216.0
82.51,-1.9500000476837158,79.0,0.0,0.0,2.7080507278442383,nan,nan,nan,25.0,6400.0,5234.157442920958,409600.0
79.16,-3.0,79.0,0.0,0.0,2.7080507278442383,nan,nan,nan,26.0,6656.0,5440.373873019009,425984.0
83.37,-2.9700000286102295,79.0,0.0,0.0,2.7080507278442383,nan,nan,nan,27.0,6912.0,5645.6586689609685,442368.0
77.02,-2.390000104904175,79.0,0.0,0.0,2.7080507278442383,nan,nan,nan,28.0,7168.0,5850.79873178096,458752.0
87.77,-2.0,79.0,0.0,0.0,2.7080507278442383,nan,nan,nan,29.0,7424.0,6055.862686295994,475136.0
89.06,-2.359999895095825,79.0,0.0,0.0,2.7080507278442383,nan,nan,nan,30.0,7680.0,6261.519333245989,491520.0
89.88,-2.569999933242798,79.0,0.0,0.0,2.7080507278442383,nan,nan,nan,31.0,7936.0,6468.427423391957,507904.0
89.22,-1.659999966621399,78.0,0.0,0.0,2.7080507278442383,nan,nan,nan,32.0,8192.0,6677.734631375002,524288.0
81.2,-2.309999942779541,79.0,0.0,0.0,2.7080507278442383,nan,nan,nan,33.0,8448.0,6884.398379649967,540672.0
84.43,-2.1500000953674316,79.0,0.0,0.0,2.7080507278442383,nan,nan,nan,34.0,8704.0,7090.863960232993,557056.0
79.34,-2.740000009536743,79.0,0.0,0.0,2.7080507278442383,nan,nan,nan,35.0,8960.0,7297.369865924993,573440.0
83.4,-2.8499999046325684,79.0,0.0,0.0,2.7080507278442383,nan,nan,nan,36.0,9216.0,7502.41001722496,589824.0
82.45,-2.440000057220459,80.0,0.0,0.0,2.7080507278442383,nan,nan,nan,37.0,9472.0,7706.760918129992,606208.0
82.02,-2.8499999046325684,80.0,0.0,0.0,2.7080507278442383,nan,nan,nan,38.0,9728.0,7910.960202796967,622592.0
84.39,-2.319999933242798,80.0,0.0,0.0,2.7080507278442383,nan,nan,nan,39.0,9984.0,8114.834273307002,638976.0
77.27,-2.4100000858306885,80.0,0.0,0.0,2.7080507278442383,nan,nan,nan,40.0,10240.0,8318.711952550977,655360.0
85.62,-2.5799999237060547,79.0,0.0,0.0,2.7080507278442383,nan,nan,nan,41.0,10496.0,8523.641176217003,671744.0
93.41,-2.940000057220459,80.0,0.0,0.0,2.7080507278442383,nan,nan,nan,42.0,10752.0,8727.681887078972,688128.0
85.0,-1.9500000476837158,80.0,0.0,0.0,2.7080507278442383,nan,nan,nan,43.0,11008.0,8931.612351459975,704512.0
82.44,-2.4200000762939453,80.0,0.0,0.0,2.7080507278442383,nan,nan,nan,44.0,11264.0,9134.621647238964,720896.0
84.99,-2.259999990463257,80.0,0.0,0.0,2.7080507278442383,nan,nan,nan,45.0,11520.0,9337.474519320996,737280.0
86.59,-2.8299999237060547,80.0,0.0,0.0,2.7080507278442383,nan,nan,nan,46.0,11776.0,9540.12325386901,753664.0
77.63,-2.3499999046325684,80.0,0.0,0.0,2.7080507278442383,nan,nan,nan,47.0,12032.0,9743.18533716799,770048.0
80.4,-2.5899999141693115,81.0,0.0,0.0,2.7080507278442383,nan,nan,nan,48.0,12288.0,9945.179328737955,786432.0
85.32,-2.5799999237060547,81.0,0.0,0.0,2.7080507278442383,nan,nan,nan,49.0,12544.0,10146.722662640968,802816.0
88.03,-2.180000066757202,81.0,0.0,0.0,2.7080507278442383,nan,nan,nan,50.0,12800.0,10348.01431320596,819200.0
87.37,-2.25,81.0,0.0,0.0,2.7080507278442383,nan,nan,nan,51.0,13056.0,10549.945194386004,835584.0
84.63,-3.3499999046325684,81.0,0.0,0.0,2.7080507278442383,nan,nan,nan,52.0,13312.0,10751.799049311958,851968.0
84.16,-2.3299999237060547,81.0,0.0,0.0,2.7080507278442383,nan,nan,nan,53.0,13568.0,10954.03343901399,868352.0
80.65,-2.509999990463257,80.0,0.0,0.0,2.7080507278442383,nan,nan,nan,54.0,13824.0,11156.44124626997,884736.0
81.96,-2.190000057220459,80.0,0.0,0.0,2.7080507278442383,nan,nan,nan,55.0,14080.0,11359.199970607006,901120.0
83.99,-3.009999990463257,81.0,0.0,0.0,2.7080507278442383,nan,nan,nan,56.0,14336.0,11560.932777168986,917504.0
83.81,-2.3299999237060547,81.0,0.0,0.0,2.7080507278442383,nan,nan,nan,57.0,14592.0,11762.521599498985,933888.0
89.73,-2.6700000762939453,81.0,0.0,0.0,2.7080507278442383,nan,nan,nan,58.0,14848.0,11964.362096211,950272.0
91.98,-2.950000047683716,80.0,0.0,0.0,2.7080507278442383,nan,nan,nan,59.0,15104.0,12166.859129811986,966656.0
83.62,-2.8299999237060547,80.0,0.0,0.0,2.7080507278442383,nan,nan,nan,60.0,15360.0,12370.27112989896,983040.0
82.56,-2.450000047683716,81.0,0.0,0.0,2.7080507278442383,nan,nan,nan,61.0,15616.0,12572.216347838985,999424.0
83.74,-2.5199999809265137,81.0,0.0,0.0,2.7080507278442383,nan,nan,nan,62.0,15872.0,12774.274737875967,1015808.0
82.36,-2.1500000953674316,80.0,0.0,0.0,2.7080507278442383,nan,nan,nan,63.0,16128.0,12977.001294815971,1032192.0
81.47,-1.6799999475479126,80.0,0.0,0.0,2.7080507278442383,nan,nan,nan,64.0,16384.0,13180.782537613995,1048576.0
86.38,-2.940000057220459,80.0,0.0,0.0,2.7080507278442383,nan,nan,nan,65.0,16640.0,13385.282567949966,1064960.0
