eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
81.09,-2.7899999618530273,31.0,0.0003006403858307749,0.0,2.7077486515045166,-0.0007204208523035049,0.2978574335575104,0.01489567756652832,1.0,256.0,515.6103636830085,16384.0
83.93,-2.930000066757202,31.0,0.00045818660873919725,0.0,2.7058916091918945,-0.000555745791643858,0.14073114097118378,0.05300736427307129,2.0,512.0,1028.2120620260102,32768.0
82.24,-2.640000104904175,31.0,0.0031035069841891527,0.015482584945857525,2.6968040466308594,-0.0017963522113859653,0.16045089066028595,0.11596834659576416,3.0,768.0,1544.8969105400029,49152.0
80.18,-1.6799999475479126,32.0,0.0018770614406093955,0.011250813491642475,2.6850039958953857,-0.001930253580212593,0.13256675004959106,0.2107332944869995,4.0,1024.0,2056.290888306001,65536.0
75.84,-2.259999990463257,32.0,0.0035243581514805555,0.0314737968146801,2.6712377071380615,-0.003991815727204084,0.13821543753147125,0.3695158362388611,5.0,1280.0,2567.547244726011,81920.0
74.38,-0.41999998688697815,32.0,0.0034228861331939697,0.02048746682703495,2.6501877307891846,-0.0026610896456986666,0.0926615372300148,0.45626842975616455,6.0,1536.0,3078.2544998560043,98304.0
71.48,-1.3799999952316284,31.0,0.0042723785154521465,0.0306396484375,2.641394853591919,-0.0038536719512194395,0.09097220748662949,0.4934098720550537,7.0,1792.0,3591.5510776810115,114688.0
74.61,-1.4199999570846558,31.0,0.004231865983456373,0.033203125,2.643526315689087,-0.003931659739464521,0.07785163074731827,0.6065756976604462,8.0,2048.0,4104.096275561009,131072.0
74.3,-1.090000033378601,31.0,0.004077093210071325,0.0401814766228199,2.6306169033050537,-0.005407959222793579,0.07290326803922653,0.6830881536006927,9.0,2304.0,4617.996870889998,147456.0
74.5,-0.5400000214576721,31.0,0.004761633928865194,0.043701171875,2.6168739795684814,-0.006513597443699837,0.07147907465696335,0.6900775730609894,10.0,2560.0,5135.435021313999,163840.0
75.74,-0.7200000286102295,31.0,0.005145527888089418,0.0531005859375,2.617281675338745,-0.007538141682744026,0.062258750200271606,0.7571858018636703,11.0,2816.0,5651.937587963999,180224.0
77.16,-0.3199999928474426,31.0,0.0048170690424740314,0.0474039725959301,2.62780499458313,-0.0066793751902878284,0.0535614937543869,0.7442668974399567,12.0,3072.0,6168.40637571401,196608.0
77.01,-0.3100000023841858,31.0,0.005476782098412514,0.056396484375,2.6172268390655518,-0.008040214888751507,0.057526636868715286,0.7730152457952499,13.0,3328.0,6687.428765479999,212992.0
74.26,-0.6000000238418579,31.0,0.005947527941316366,0.0756022110581398,2.6087682247161865,-0.00869783665984869,0.055695150047540665,0.7708297818899155,14.0,3584.0,7204.826689611,229376.0
76.44,-0.20999999344348907,31.0,0.005468438845127821,0.0601603202521801,2.607381820678711,-0.009105455130338669,0.05841919779777527,0.7707775086164474,15.0,3840.0,7727.260605852003,245760.0
79.86,0.07999999821186066,31.0,0.006566189229488373,0.07891845703125,2.597200632095337,-0.008111398667097092,0.044051509350538254,0.820852667093277,16.0,4096.0,8246.843137299002,262144.0
80.33,-0.33000001311302185,31.0,0.0063067334704101086,0.0783894881606102,2.5868594646453857,-0.011100318282842636,0.07069343328475952,0.5950198471546173,17.0,4352.0,8765.384006967011,278528.0
80.82,-0.12999999523162842,31.0,0.0071599907241761684,0.0886637344956398,2.586820125579834,-0.011211150325834751,0.06330078095197678,0.6896537840366364,18.0,4608.0,9284.670183545008,294912.0
77.44,0.10000000149011612,31.0,0.007546020206063986,0.0960896834731102,2.5653257369995117,-0.009777507744729519,0.055766511708498,0.6585944890975952,19.0,4864.0,9804.096030859,311296.0
80.28,0.30000001192092896,31.0,0.008478228934109211,0.0952555313706398,2.590158224105835,-0.008995961397886276,0.08291324973106384,0.7216993272304535,20.0,5120.0,10319.582289137004,327680.0
