eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
85.58,-3.069999933242798,71.0,0.0003464836336206645,0.0,2.707698106765747,-0.000595569727011025,0.30475035309791565,0.0012493133544921875,1.0,256.0,229.21116753696697,16384.0
87.69,-2.990000009536743,72.0,0.0001325996418017894,0.0,2.7067766189575195,-0.00016095062892418355,0.14838065207004547,0.04046827554702759,2.0,512.0,455.581316486001,32768.0
85.59,-2.6700000762939453,72.0,0.00026085865101777017,0.0,2.7055981159210205,-0.0005487712915055454,0.14007316529750824,0.049939870834350586,3.0,768.0,680.2596922169905,49152.0
79.7,-2.5,73.0,0.00029060078668408096,0.0,2.703470468521118,-0.0004520108050201088,0.1268930286169052,0.07601189613342285,4.0,1024.0,903.7602186719887,65536.0
80.96,-1.9900000095367432,73.0,0.0004901958745904267,0.0,2.701907157897949,-0.0008425125852227211,0.13509725034236908,0.18213880062103271,5.0,1280.0,1126.3195217099856,81920.0
85.16,-2.390000104904175,73.0,0.0021019154228270054,0.01025390625,2.6946775913238525,-0.0022166953422129154,0.14149324595928192,0.24929386377334595,6.0,1536.0,1347.7695784749812,98304.0
85.71,-2.450000047683716,73.0,0.0007380345487035811,0.00040690103196538985,2.6927340030670166,-0.0016847130609676242,0.13745327293872833,0.3019353747367859,7.0,1792.0,1569.4716410349938,114688.0
86.76,-2.1700000762939453,73.0,0.0025728289037942886,0.00787353515625,2.6992361545562744,-0.0025865810457617044,0.10836407542228699,0.3754085302352905,8.0,2048.0,1791.2684251539758,131072.0
89.2,-2.2100000381469727,73.0,0.0018405987648293376,0.009012858383357525,2.7017977237701416,-0.002960521960631013,0.11019092798233032,0.4284893274307251,9.0,2304.0,2012.967865573999,147456.0
87.35,-2.559999942779541,73.0,0.002113055670633912,0.012532551772892475,2.695585250854492,-0.004426486324518919,0.11224371939897537,0.4808334708213806,10.0,2560.0,2234.46930105699,163840.0
80.99,-2.109999895095825,74.0,0.002009668853133917,0.011739094741642475,2.6948280334472656,-0.004449231084436178,0.1117166206240654,0.4831196069717407,11.0,2816.0,2454.811004778021,180224.0
88.32,-2.509999990463257,74.0,0.0026375928428024054,0.01853434182703495,2.6907615661621094,-0.005852861795574427,0.11566708236932755,0.45602166652679443,12.0,3072.0,2674.5653213259648,196608.0
