eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
82.81,-2.4100000858306885,61.0,0.00010740994912339374,0.0,2.707946538925171,-0.0002293618890689686,0.3508279621601105,-0.007580280303955078,1.0,256.0,267.0025285519987,16384.0
92.06,-2.7200000286102295,61.0,0.0001836107112467289,0.0,2.7074763774871826,-0.00046069046948105097,0.1627524048089981,0.00885927677154541,2.0,512.0,532.4897959579976,32768.0
81.41,-2.0899999141693115,61.0,0.0006248645950108767,0.0,2.705444574356079,-0.0009004473104141653,0.13982166349887848,0.03282034397125244,3.0,768.0,798.1725332200003,49152.0
85.67,-1.5499999523162842,61.0,0.0013642385601997375,0.0031534831505268812,2.6990489959716797,-0.0018742624670267105,0.12175861746072769,0.13997268676757812,4.0,1024.0,1064.2862922469976,65536.0
81.02,-3.1500000953674316,61.0,0.0007245434098877013,0.0013631185283884406,2.69820237159729,-0.0007546351407654583,0.1588202565908432,0.2332056760787964,5.0,1280.0,1330.4762896639986,81920.0
82.0,-2.299999952316284,61.0,0.00145827978849411,0.00439453125,2.7035562992095947,-0.0018867561593651772,0.12091553211212158,0.32475537061691284,6.0,1536.0,1596.7488921429976,98304.0
81.08,-1.2799999713897705,62.0,0.001588254701346159,0.009379069320857525,2.6996688842773438,-0.0030472807120531797,0.12293917685747147,0.32936346530914307,7.0,1792.0,1859.5505476920007,114688.0
86.32,-1.8700000047683716,62.0,0.0023918531369417906,0.010518391616642475,2.689145088195801,-0.004231454338878393,0.10670698434114456,0.3472598195075989,8.0,2048.0,2122.180548438999,131072.0
79.77,-2.1500000953674316,62.0,0.00243658060207963,0.014689127914607525,2.6883859634399414,-0.004556660074740648,0.1077282726764679,0.41259241104125977,9.0,2304.0,2385.7522567390006,147456.0
79.36,-1.940000057220459,62.0,0.002976910211145878,0.02046712301671505,2.686314821243286,-0.005638584028929472,0.10517551749944687,0.43724197149276733,10.0,2560.0,2649.7738010629982,163840.0
81.63,-1.5099999904632568,61.0,0.003601978300139308,0.02895100973546505,2.6785173416137695,-0.006177916657179594,0.09489843994379044,0.40405207872390747,11.0,2816.0,2915.975905028001,180224.0
84.67,-1.3600000143051147,62.0,0.003827649401500821,0.02809651754796505,2.682126045227051,-0.0076052346266806126,0.09531474858522415,0.44393712282180786,12.0,3072.0,3179.9230448589988,196608.0
83.15,-1.4500000476837158,63.0,0.0036042816936969757,0.0317179374396801,2.6716320514678955,-0.008041285909712315,0.093782939016819,0.4384381175041199,13.0,3328.0,3439.993608634999,212992.0
77.1,-0.7099999785423279,63.0,0.004420968238264322,0.04449462890625,2.6639020442962646,-0.010027929209172726,0.09624746441841125,0.5182502865791321,14.0,3584.0,3699.8994992820008,229376.0
88.54,-0.8100000023841858,63.0,0.0036462927237153053,0.02903238870203495,2.6681969165802,-0.009201508946716785,0.08574189990758896,0.4675280451774597,15.0,3840.0,3959.3961001339994,245760.0
78.5,-0.6600000262260437,63.0,0.005542798433452845,0.0583089180290699,2.660712242126465,-0.009340844117105007,0.06449902057647705,0.5193915963172913,16.0,4096.0,4219.375221578997,262144.0
83.02,-0.6600000262260437,63.0,0.003951525781303644,0.03350830078125,2.657150983810425,-0.009958547540009022,0.07042265683412552,0.46456295251846313,17.0,4352.0,4479.077788568,278528.0
83.43,-0.6899999976158142,62.0,0.004507953766733408,0.0481974296271801,2.653479814529419,-0.012507826089859009,0.06429887562990189,0.5418702363967896,18.0,4608.0,4739.162122367998,294912.0
76.5,-0.3499999940395355,62.0,0.00564220966771245,0.06707763671875,2.653038501739502,-0.012227214872837067,0.05767934024333954,0.5334932208061218,19.0,4864.0,4999.433750633998,311296.0
84.77,-0.44999998807907104,63.0,0.005894243251532316,0.0636800155043602,2.658224105834961,-0.012133502401411533,0.06332451105117798,0.54167240858078,20.0,5120.0,5258.213245176998,327680.0
79.08,0.05000000074505806,63.0,0.005526846740394831,0.0640055313706398,2.654938220977783,-0.012100602500140667,0.05019569769501686,0.44881147146224976,21.0,5376.0,5515.1624088889985,344064.0
81.69,-0.029999999329447746,63.0,0.00580662302672863,0.06719970703125,2.6543772220611572,-0.012846517376601696,0.059651803225278854,0.5473479926586151,22.0,5632.0,5774.282498007,360448.0
83.33,-0.10999999940395355,63.0,0.0054952227510511875,0.0620524100959301,2.6481668949127197,-0.01498184073716402,0.06645691394805908,0.4979249835014343,23.0,5888.0,6032.063853743999,376832.0
81.6,-0.20999999344348907,63.0,0.006812186911702156,0.0818277969956398,2.647156000137329,-0.014819920994341373,0.06294506043195724,0.4827989339828491,24.0,6144.0,6291.460632617,393216.0
84.73,0.4099999964237213,62.0,0.006129162851721048,0.0738728865981102,2.6507349014282227,-0.013408382423222065,0.050235647708177567,0.4697380065917969,25.0,6400.0,6552.181710622997,409600.0
83.69,0.5600000023841858,62.0,0.006047392729669809,0.0703328475356102,2.64184832572937,-0.015424826182425022,0.05481650307774544,0.48630470037460327,26.0,6656.0,6815.602252771998,425984.0
85.5,0.6200000047683716,62.0,0.0062498669140040874,0.0742390975356102,2.6461055278778076,-0.013746612705290318,0.05315936729311943,0.4792925715446472,27.0,6912.0,7079.110198532999,442368.0
79.51,0.49000000953674316,62.0,0.006244607735425234,0.0745442733168602,2.6468467712402344,-0.01229846104979515,0.06525472551584244,0.4773361086845398,28.0,7168.0,7339.852873872998,458752.0
84.08,0.7599999904632568,62.0,0.006510355044156313,0.0801595076918602,2.6417465209960938,-0.01615026779472828,0.0524623841047287,0.5167060792446136,29.0,7424.0,7602.432141827998,475136.0
89.23,0.9599999785423279,61.0,0.009340236894786358,0.1208089217543602,2.632495641708374,-0.009480672888457775,0.05434012413024902,0.5034458339214325,30.0,7680.0,7867.813857073001,491520.0
82.58,0.800000011920929,62.0,0.006177401635795832,0.0734049454331398,2.635521173477173,-0.015887456014752388,0.051451995968818665,0.5252396464347839,31.0,7936.0,8130.941372392997,507904.0
87.52,1.159999966621399,62.0,0.0069181048311293125,0.0857950821518898,2.6276347637176514,-0.016756942495703697,0.05808822438120842,0.48322194814682007,32.0,8192.0,8391.691403103,524288.0
81.18,1.2000000476837158,62.0,0.007492426782846451,0.091552734375,2.6214606761932373,-0.01780165545642376,0.05357421934604645,0.594761461019516,33.0,8448.0,8653.697773001,540672.0
89.05,1.3799999952316284,62.0,0.008692915551364422,0.11309814453125,2.6210458278656006,-0.013380445539951324,0.04562407359480858,0.6236714124679565,34.0,8704.0,8916.395205171,557056.0
85.45,1.1299999952316284,62.0,0.008476655930280685,0.11102294921875,2.6117024421691895,-0.014894084073603153,0.05388125404715538,0.6011810004711151,35.0,8960.0,9178.652170499998,573440.0
95.37,2.109999895095825,62.0,0.00848429650068283,0.1070149764418602,2.600334644317627,-0.017228174954652786,0.0490349680185318,0.6617375016212463,36.0,9216.0,9441.7666379,589824.0
85.55,1.2599999904632568,61.0,0.008148501627147198,0.10321044921875,2.606395959854126,-0.017425009980797768,0.048806432634592056,0.6930346488952637,37.0,9472.0,9707.116043618,606208.0
93.2,1.3600000143051147,61.0,0.008731184527277946,0.11077880859375,2.6100471019744873,-0.017162630334496498,0.052647482603788376,0.6594513952732086,38.0,9728.0,9973.000010304,622592.0
